timestamp,x,y,z,qx,qy,qz,qw
49.171,-0.15991952010288216,-0.5063562643550601,0.20771756708525885,-0.009102322062765709,0.0051520280560476295,0.9987116950469195,0.049654350428580275
49.176,-0.15992067042845703,-0.5063572697874746,0.20771782295874927,-0.009099291793360654,0.005157007591190762,0.9987114868735227,0.049658575779430475
49.181,-0.15992179803339526,-0.5063582664261964,0.20771807501464026,-0.009096257719054718,0.0051620016057283375,0.9987112797089345,0.04966277899064294
49.186,-0.15992290343384175,-0.5063592530039283,0.20771831757892842,-0.009093210556831322,0.005167148818751584,0.9987110726982643,0.04966696452106091
49.191,-0.15992399074041594,-0.506360232807112,0.20771855235325795,-0.009090216115232372,0.005172434765407985,0.9987108654232888,0.049671130196941075
49.196,-0.1599250619675999,-0.5063612143726708,0.20771879278101296,-0.009087328926036378,0.005177758186085595,0.9987106570050669,0.049675294238323384
49.201,-0.15992611394517212,-0.5063622039047164,0.20771904452492218,-0.009084451737988695,0.005183122125467001,0.9987104484546205,0.04967945379353116
49.206,-0.1599271468798491,-0.506363205400502,0.20771930815927742,-0.009081582305270848,0.005188506054227975,0.9987102393605473,0.049683619676471946
49.211,-0.15992816224579068,-0.5063642204422839,0.2077195824738821,-0.00907873288904375,0.005193887082053012,0.9987100291445681,0.049687803656071734
49.216,-0.1599291598588201,-0.506365248248391,0.20771986058071457,-0.009075875876175275,0.0051992660111454285,0.998709817897188,0.04969200887256563
49.221,-0.15993014517623816,-0.5063662878426101,0.20772013833998057,-0.009073018462467308,0.005204610728321739,0.9987096060408723,0.04969622887938236
49.226,-0.1599311185635544,-0.5063673387103733,0.20772041353501997,-0.00907015919602256,0.005209940747578903,0.9987093930435135,0.04970047259556435
49.231,-0.15993207950230415,-0.5063684006119257,0.2077206850629952,-0.00906729416083019,0.005215234270362112,0.998709178398878,0.049704753192674186
49.236,-0.159933028647217,-0.506369472963625,0.20772095187679965,-0.009064426822291593,0.005220500975885397,0.9987089620472941,0.049709070222248866
49.241,-0.15993396710623647,-0.5063705558584645,0.20772121401457572,-0.009061555499582498,0.005225732460449228,0.9987087440819293,0.049713423000990575
49.246,-0.15993489496883476,-0.5063716489434902,0.20772147171931085,-0.009058684927127785,0.0052309465249923,0.9987085247000402,0.04971780483200152
49.251,-0.15993581394832035,-0.5063727523793818,0.2077217249663538,-0.009055803509948125,0.0052361303822074405,0.9987083045587232,0.04972220597329393
49.256,-0.15993672596441322,-0.5063738659342572,0.20772197471920975,-0.009052927452895054,0.00524129370893964,0.998708084042625,0.049726614731936486
49.261,-0.1599376339009433,-0.5063749899583063,0.20772222142696264,-0.009050046884225033,0.005246432676898368,0.9987078636407524,0.04973102349323536
49.266,-0.15993854025578705,-0.5063761242932787,0.20772246661812419,-0.009047182377346736,0.005251554328595222,0.9987076434335009,0.049735426163531354
49.271,-0.15993944782565517,-0.5063772692098758,0.20772271047708288,-0.009044318094890917,0.005256653276017521,0.9987074236392017,0.049739821817958545
49.276,-0.15994035875844204,-0.506378424337083,0.20772295395151635,-0.009041469933400907,0.005261735667518734,0.9987072041021737,0.0497442100512984
49.281,-0.15994127540725653,-0.5063795898059705,0.20772319708089892,-0.009038625692557839,0.005266799793692194,0.9987069846266625,0.04974859720074902
49.286,-0.15994219952138214,-0.5063807649850791,0.20772344076263838,-0.009035801301799994,0.005271852057685334,0.9987067649660909,0.04975298465099055
